anchored,baseline,anchored_median_pinball,baseline_median_pinball,edge,anchored_iqr,baseline_iqr,dm_stat,dm_p_anchored_better,n_common,edge_exceeds_anchored_iqr,edge_exceeds_baseline_iqr,seed_noise_verdict,anchor_disabled_by_val,identical_forecasts,ticker,alpha,architecture,claim_supported,val_weight_at_grid_edge,chosen_weight
Anchor param,Unanchored,0.0010959888719397704,0.001089295501543529,-6.693370396241346e-06,2.194806232418134e-07,5.139838136081383e-05,0.038481628900045084,0.5153430198709514,748,False,False,not detectable,False,False,^GSPC,0.05,SimpleQuantileNeuron,False,True,10.0
Anchor hist,Unanchored,0.0010808993646067625,0.001089295501543529,8.396136936766538e-06,1.0107613709025957e-06,5.139838136081383e-05,-0.8155447689191261,0.2075102525222418,748,True,False,ambiguous,False,False,^GSPC,0.05,SimpleQuantileNeuron,False,False,1.0
Anchor param,Unanchored,0.0003816503310763723,0.00035733695057911855,-2.431338049725375e-05,1.1914672191817963e-06,1.9088584337044847e-05,0.4515717989298483,0.674145718021667,748,False,False,not detectable,False,False,^GSPC,0.01,SimpleQuantileNeuron,False,False,5.0
Anchor hist,Unanchored,0.00037063999998586253,0.00035733695057911855,-1.3303049406743987e-05,2.8324462871818818e-06,1.9088584337044847e-05,0.1420431762504643,0.5564578990933908,748,False,False,not detectable,False,False,^GSPC,0.01,SimpleQuantileNeuron,False,False,1.0
Anchor param,Unanchored,0.002879583451901537,0.002879583451901537,0.0,2.1739350804620382e-05,2.1739350804620382e-05,0.0,0.5,1078,False,False,anchor disabled by VAL,True,True,BTC-USD,0.05,SimpleQuantileNeuron,False,False,0.0
Anchor hist,Unanchored,0.002879583451901537,0.002879583451901537,0.0,2.1739350804620382e-05,2.1739350804620382e-05,0.0,0.5,1078,False,False,anchor disabled by VAL,True,True,BTC-USD,0.05,SimpleQuantileNeuron,False,False,0.0
Anchor param,Unanchored,0.0009710976562681082,0.0009710976562681082,0.0,1.9189967309058776e-06,1.9189967309058776e-06,0.0,0.5,1078,False,False,anchor disabled by VAL,True,True,BTC-USD,0.01,SimpleQuantileNeuron,False,False,0.0
Anchor hist,Unanchored,0.0009910574740312704,0.0009710976562681082,-1.9959817763162257e-05,1.3979131283309645e-06,1.9189967309058776e-06,1.5111028863614342,0.9344722115141444,1078,False,False,not detectable,False,False,BTC-USD,0.01,SimpleQuantileNeuron,False,False,1.0
Anchor param,Unanchored,0.00416612772285949,0.003991353127714155,-0.00017477459514533486,1.0256804301739947e-06,7.511557323881465e-07,2.8972897015679586,0.9980629394957351,748,False,False,not detectable,False,False,TSLA,0.05,SimpleQuantileNeuron,False,False,5.0
Anchor hist,Unanchored,0.003991353127714155,0.003991353127714155,0.0,7.511557323881465e-07,7.511557323881465e-07,0.0,0.5,748,False,False,anchor disabled by VAL,True,True,TSLA,0.05,SimpleQuantileNeuron,False,False,0.0
Anchor param,Unanchored,0.0013691509564625723,0.0013691509564625723,0.0,1.2029620674364108e-05,1.2029620674364108e-05,0.0,0.5,748,False,False,anchor disabled by VAL,True,True,TSLA,0.01,SimpleQuantileNeuron,False,False,0.0
Anchor hist,Unanchored,0.0013691509564625723,0.0013691509564625723,0.0,1.2029620674364108e-05,1.2029620674364108e-05,0.0,0.5,748,False,False,anchor disabled by VAL,True,True,TSLA,0.01,SimpleQuantileNeuron,False,False,0.0
Anchor param,Unanchored,0.003258661918974402,0.003255285199308046,-3.376719666356269e-06,7.414702266300525e-07,1.5339761832977843e-05,0.06429482769493267,0.5256236635269026,748,False,False,not detectable,False,False,NVDA,0.05,SimpleQuantileNeuron,False,False,1.0
Anchor hist,Unanchored,0.003255285199308046,0.003255285199308046,0.0,1.5339761832977843e-05,1.5339761832977843e-05,0.0,0.5,748,False,False,anchor disabled by VAL,True,True,NVDA,0.05,SimpleQuantileNeuron,False,False,0.0
Anchor param,Unanchored,0.0009655140481331022,0.0009929751529153706,2.7461104782268366e-05,2.9612333329525698e-06,9.823317619608299e-06,-1.0126040734969055,0.15578859129775574,748,True,True,detectable,False,False,NVDA,0.01,SimpleQuantileNeuron,False,False,1.0
Anchor hist,Unanchored,0.0010270201731881166,0.0009929751529153706,-3.4045020272746064e-05,1.7016628049910162e-06,9.823317619608299e-06,0.8761220854015415,0.8093773463661094,748,False,False,not detectable,False,False,NVDA,0.01,SimpleQuantileNeuron,False,False,1.0
Anchor param,Unanchored,0.0031259785150251707,0.0031259785150251707,0.0,2.2527591398801942e-05,2.2527591398801942e-05,0.0,0.5,748,False,False,anchor disabled by VAL,True,True,SQM,0.05,SimpleQuantileNeuron,False,False,0.0
Anchor hist,Unanchored,0.0031259785150251707,0.0031259785150251707,0.0,2.2527591398801942e-05,2.2527591398801942e-05,0.0,0.5,748,False,False,anchor disabled by VAL,True,True,SQM,0.05,SimpleQuantileNeuron,False,False,0.0
Anchor param,Unanchored,0.0008291319645233894,0.0009105317256587558,8.139976113536633e-05,2.693645942478118e-06,7.147869807394179e-06,-2.6061809601261072,0.00466912277642195,748,True,True,detectable,False,False,SQM,0.01,SimpleQuantileNeuron,True,False,1.0
Anchor hist,Unanchored,0.0008402981337518301,0.0009105317256587558,7.023359190692566e-05,4.3965701790739213e-07,7.147869807394179e-06,-3.7043241155124997,0.00011379244390749769,748,True,True,detectable,False,False,SQM,0.01,SimpleQuantileNeuron,True,True,10.0
Anchor param,Unanchored,0.0010243047759624533,0.001024986660900022,6.81884937568742e-07,2.4277509292950326e-06,5.058524871619967e-05,-0.5215114354695233,0.30108034968918806,770,False,False,not detectable,False,False,CLP=X,0.05,SimpleQuantileNeuron,False,False,1.0
Anchor hist,Unanchored,0.0010163992145338875,0.001024986660900022,8.587446366134597e-06,2.501620442376968e-06,5.058524871619967e-05,-2.055109258665189,0.020102861434431418,770,True,False,ambiguous,False,False,CLP=X,0.05,SimpleQuantileNeuron,False,False,1.0
Anchor param,Unanchored,0.0002903137862101423,0.0002903137862101423,0.0,2.0755716469501688e-05,2.0755716469501688e-05,0.0,0.5,770,False,False,anchor disabled by VAL,True,True,CLP=X,0.01,SimpleQuantileNeuron,False,False,0.0
Anchor hist,Unanchored,0.0002903137862101423,0.0002903137862101423,0.0,2.0755716469501688e-05,2.0755716469501688e-05,0.0,0.5,770,False,False,anchor disabled by VAL,True,True,CLP=X,0.01,SimpleQuantileNeuron,False,False,0.0
Anchor param,Unanchored,0.0021396344392179897,0.0021364147515878307,-3.219687630159028e-06,1.8707514686982021e-06,3.47246162382942e-05,0.11334628112617748,0.5451067595898443,748,False,False,not detectable,False,False,HG=F,0.05,SimpleQuantileNeuron,False,False,1.0
Anchor hist,Unanchored,0.0021364147515878307,0.0021364147515878307,0.0,3.47246162382942e-05,3.47246162382942e-05,0.0,0.5,748,False,False,anchor disabled by VAL,True,True,HG=F,0.05,SimpleQuantileNeuron,False,False,0.0
Anchor param,Unanchored,0.0008509733233806138,0.0008752749561462745,2.4301632765660625e-05,2.0783382311044497e-06,1.784387906206492e-05,-0.9405095511830781,0.1736301404161019,748,True,True,detectable,False,False,HG=F,0.01,SimpleQuantileNeuron,False,False,1.0
Anchor hist,Unanchored,0.0008313434533297831,0.0008752749561462745,4.3931502816491334e-05,3.0796114357814703e-06,1.784387906206492e-05,-1.5884407707629196,0.05630492232838673,748,True,True,detectable,False,False,HG=F,0.01,SimpleQuantileNeuron,False,False,1.0
Anchor param,Unanchored,0.002821787547525352,0.002833347126496443,1.1559578971091083e-05,8.244698065373868e-07,3.777524770142912e-05,-0.39636819701534265,0.34597331036433604,748,True,False,ambiguous,False,False,CL=F,0.05,SimpleQuantileNeuron,False,False,1.0
Anchor hist,Unanchored,0.002936039798029977,0.002833347126496443,-0.00010269267153353379,9.035740799728104e-07,3.777524770142912e-05,1.7775760242175718,0.9620598549356725,748,False,False,not detectable,False,False,CL=F,0.05,SimpleQuantileNeuron,False,False,5.0
Anchor param,Unanchored,0.0009243329246724742,0.0009308877481358883,6.5548234634141885e-06,9.6856188751195e-07,1.0440157014219241e-05,-0.14727998715276425,0.44147538457571617,748,True,False,ambiguous,False,False,CL=F,0.01,SimpleQuantileNeuron,False,False,1.0
Anchor hist,Unanchored,0.0008696577273166863,0.0009308877481358883,6.123002081920206e-05,2.2403039237389646e-07,1.0440157014219241e-05,-0.7504751727205153,0.22660244477060457,748,True,True,detectable,False,False,CL=F,0.01,SimpleQuantileNeuron,False,True,10.0
