ticker,capacity,n_params,weight,val_pinball_median,val_pinball_iqr,rel_iqr
^GSPC,Linear,4,0.0,0.00046428691490174655,3.4237919265732984e-05,0.07374302003100494
^GSPC,Linear,4,0.5,0.00041754604385941467,7.903118883035437e-06,0.018927538649357607
^GSPC,MLP 8x1,41,0.0,0.0005060330535714962,8.936806352819029e-05,0.1766051899128832
^GSPC,MLP 8x1,41,0.5,0.0004155004459185719,3.2694361366850068e-06,0.007868670584593639
^GSPC,MLP 32x2,1217,0.0,0.00046319654758207666,3.428545362131792e-05,0.07401923395217593
^GSPC,MLP 32x2,1217,0.5,0.00041155376311177277,5.910260064955657e-06,0.014360845640841597
^GSPC,MLP 64x3,8641,0.0,0.0004621550167015773,0.00014456069355900278,0.31279698009282564
^GSPC,MLP 64x3,8641,0.5,0.00041411812266768026,2.3877352506001983e-05,0.05765831341113023
NVDA,Linear,4,0.0,0.0010818098343764707,4.469173148593337e-06,0.004131200333531135
NVDA,Linear,4,0.5,0.0009669391934142703,4.326988205831752e-06,0.004474933103655795
NVDA,MLP 8x1,41,0.0,0.0011086206713597077,5.5061577779445293e-05,0.04966674282909865
NVDA,MLP 8x1,41,0.5,0.000970846496466184,3.567903469451142e-05,0.036750438740192924
NVDA,MLP 32x2,1217,0.0,0.0010860668052282076,0.00010701155957372433,0.09853128652729493
NVDA,MLP 32x2,1217,0.5,0.0010277475667903597,3.546813936196867e-05,0.034510555420466854
NVDA,MLP 64x3,8641,0.0,0.001102627027594086,0.0001819684062008206,0.16503169398801396
NVDA,MLP 64x3,8641,0.5,0.0010389965194646362,3.557247336316398e-05,0.03423733640753042
BTC-USD,Linear,4,0.0,0.0012844674267087914,5.40277843053146e-06,0.004206240125820142
BTC-USD,Linear,4,0.5,0.0014150044878424109,1.163745036165259e-05,0.008224320460917615
BTC-USD,MLP 8x1,41,0.0,0.0013188137593553593,4.177451550001015e-05,0.0316758262519415
BTC-USD,MLP 8x1,41,0.5,0.0014073075165804243,2.5615285126012527e-05,0.018201626030005413
BTC-USD,MLP 32x2,1217,0.0,0.0013416860953666264,0.00013390756065773785,0.09980543222455215
BTC-USD,MLP 32x2,1217,0.5,0.0014397535732130315,3.7009787091378575e-05,0.025705640034485586
BTC-USD,MLP 64x3,8641,0.0,0.0013355996626317832,0.00010416248319388322,0.07798930031820485
BTC-USD,MLP 64x3,8641,0.5,0.0014616159574835695,5.673067252659676e-05,0.03881366526968456
SQM,Linear,4,0.0,0.0016715049477760838,6.878368561479388e-06,0.004115075202517929
SQM,Linear,4,0.5,0.001649526494117762,1.0533300103908374e-05,0.006385650755820104
SQM,MLP 8x1,41,0.0,0.0016822714319779945,6.10407428656588e-05,0.0362847170232736
SQM,MLP 8x1,41,0.5,0.001646227498748822,8.24459073915651e-06,0.005008172166618905
SQM,MLP 32x2,1217,0.0,0.0016364240391178518,9.349990686186049e-05,0.057136722895041035
SQM,MLP 32x2,1217,0.5,0.0016357898440290297,4.7926275672161966e-05,0.02929855314061446
SQM,MLP 64x3,8641,0.0,0.0015403228088708954,0.00022776463362861408,0.14786811720042803
SQM,MLP 64x3,8641,0.5,0.0016295677318450476,2.5031775993140416e-05,0.015360991448203663
CL=F,Linear,4,0.0,0.001177416072048041,2.825537143663604e-05,0.023997779635781258
CL=F,Linear,4,0.5,0.001014622471494783,6.2922749638476706e-06,0.006201592356394035
CL=F,MLP 8x1,41,0.0,0.0012403425875167412,0.00011647436282233889,0.09390499366431439
CL=F,MLP 8x1,41,0.5,0.0010222275513351534,2.7952067016120876e-05,0.027344270832469816
CL=F,MLP 32x2,1217,0.0,0.0011005046196274674,5.872526709089945e-05,0.05336212683121547
CL=F,MLP 32x2,1217,0.5,0.0010170919237023621,4.5090026351658286e-05,0.04433230202784823
CL=F,MLP 64x3,8641,0.0,0.0010759627720752197,5.8558325577069e-05,0.054424118656193836
CL=F,MLP 64x3,8641,0.5,0.0010147669806601066,5.0887762529048045e-05,0.05014723921736744
