anchored,baseline,anchored_median_pinball,baseline_median_pinball,edge,anchored_iqr,baseline_iqr,dm_stat,dm_p_anchored_better,n_common,edge_exceeds_anchored_iqr,edge_exceeds_baseline_iqr,seed_noise_verdict,anchor_disabled_by_val,identical_forecasts,ticker,alpha,architecture,claim_supported,val_weight_at_grid_edge,chosen_weight
Anchor param,Unanchored,0.0010838433979369895,0.001089295501543529,5.4521036065395545e-06,5.371613368233483e-07,5.139838136081383e-05,-0.9538307646265248,0.17023892911545196,748,True,False,ambiguous,False,False,^GSPC,0.05,SimpleQuantileNeuron,False,True,2.0
Anchor hist,Unanchored,0.0010836441399936134,0.001089295501543529,5.6513615499156206e-06,2.163215183944309e-05,5.139838136081383e-05,-1.3069838278532941,0.09581019496182783,748,False,False,not detectable,False,False,^GSPC,0.05,SimpleQuantileNeuron,False,False,0.25
Anchor param,Unanchored,0.0003675995385496795,0.00035733695057911855,-1.0262587970560942e-05,9.69383742331555e-07,1.9088584337044847e-05,0.0644773717373837,0.5256963127511434,748,False,False,not detectable,False,False,^GSPC,0.01,SimpleQuantileNeuron,False,True,2.0
Anchor hist,Unanchored,0.0003691135964138107,0.00035733695057911855,-1.1776645834692167e-05,7.973158505451426e-06,1.9088584337044847e-05,0.14282060532119997,0.5567648114796252,748,False,False,not detectable,False,False,^GSPC,0.01,SimpleQuantileNeuron,False,False,0.5
Anchor param,Unanchored,0.002879583451901537,0.002879583451901537,0.0,2.1739350804620382e-05,2.1739350804620382e-05,0.0,0.5,1078,False,False,anchor disabled by VAL,True,True,BTC-USD,0.05,SimpleQuantileNeuron,False,False,0.0
Anchor hist,Unanchored,0.002887143511886127,0.002879583451901537,-7.560059984589983e-06,1.470084517679257e-05,2.1739350804620382e-05,0.3200721702637441,0.6255121478960176,1078,False,False,not detectable,False,False,BTC-USD,0.05,SimpleQuantileNeuron,False,False,0.1
Anchor param,Unanchored,0.0009710976562681082,0.0009710976562681082,0.0,1.9189967309058776e-06,1.9189967309058776e-06,0.0,0.5,1078,False,False,anchor disabled by VAL,True,True,BTC-USD,0.01,SimpleQuantileNeuron,False,False,0.0
Anchor hist,Unanchored,0.0009849465202317886,0.0009710976562681082,-1.3848863963680444e-05,5.165708349785629e-07,1.9189967309058776e-06,3.2937606426162573,0.9994896336532547,1078,False,False,not detectable,False,False,BTC-USD,0.01,SimpleQuantileNeuron,False,False,0.1
Anchor param,Unanchored,0.004140668802154781,0.003991353127714155,-0.0001493156744406263,1.2438215768548894e-06,7.511557323881465e-07,3.0276361477158957,0.998725235215086,748,False,False,not detectable,False,False,TSLA,0.05,SimpleQuantileNeuron,False,True,2.0
Anchor hist,Unanchored,0.003991353127714155,0.003991353127714155,0.0,7.511557323881465e-07,7.511557323881465e-07,0.0,0.5,748,False,False,anchor disabled by VAL,True,True,TSLA,0.05,SimpleQuantileNeuron,False,False,0.0
Anchor param,Unanchored,0.0013425548242449294,0.0013691509564625723,2.659613221764291e-05,1.5961008574714173e-05,1.2029620674364108e-05,-0.8374562563688229,0.20130200261682057,748,True,True,detectable,False,False,TSLA,0.01,SimpleQuantileNeuron,False,False,0.1
Anchor hist,Unanchored,0.001323634740141944,0.0013691509564625723,4.5516216320628296e-05,3.697220236063099e-06,1.2029620674364108e-05,-2.5017281768312323,0.006285852103461596,748,True,True,detectable,False,False,TSLA,0.01,SimpleQuantileNeuron,True,False,0.1
Anchor param,Unanchored,0.0032651354219154732,0.003255285199308046,-9.850222607427333e-06,9.653994870839448e-07,1.5339761832977843e-05,0.22344862751606098,0.5883762735291334,748,False,False,not detectable,False,False,NVDA,0.05,SimpleQuantileNeuron,False,True,2.0
Anchor hist,Unanchored,0.0032519682056198675,0.003255285199308046,3.316993688178352e-06,1.0311216885413102e-05,1.5339761832977843e-05,-0.4624726906237307,0.3219385291040753,748,False,False,not detectable,False,False,NVDA,0.05,SimpleQuantileNeuron,False,False,0.1
Anchor param,Unanchored,0.0009539946237200054,0.0009929751529153706,3.898052919536514e-05,4.700628821464143e-06,9.823317619608299e-06,-1.8313157359761136,0.0337257748002134,748,True,True,detectable,False,False,NVDA,0.01,SimpleQuantileNeuron,True,False,0.5
Anchor hist,Unanchored,0.0010166807094508764,0.0009929751529153706,-2.370555653550578e-05,3.0539105870426575e-06,9.823317619608299e-06,0.6242164989248261,0.733662001512673,748,False,False,not detectable,False,False,NVDA,0.01,SimpleQuantileNeuron,False,False,0.5
Anchor param,Unanchored,0.0031259785150251707,0.0031259785150251707,0.0,2.2527591398801942e-05,2.2527591398801942e-05,0.0,0.5,748,False,False,anchor disabled by VAL,True,True,SQM,0.05,SimpleQuantileNeuron,False,False,0.0
Anchor hist,Unanchored,0.003106206288247386,0.0031259785150251707,1.977222677778485e-05,1.414055515200005e-06,2.2527591398801942e-05,-1.0542776545665258,0.14604834597577762,748,True,False,ambiguous,False,False,SQM,0.05,SimpleQuantileNeuron,False,False,0.5
Anchor param,Unanchored,0.0008291319645233894,0.0009105317256587558,8.139976113536633e-05,2.693645942478118e-06,7.147869807394179e-06,-2.6061809601261072,0.00466912277642195,748,True,True,detectable,False,False,SQM,0.01,SimpleQuantileNeuron,True,False,1.0
Anchor hist,Unanchored,0.000839709074414733,0.0009105317256587558,7.08226512440228e-05,7.303244867585363e-07,7.147869807394179e-06,-4.147663590025331,1.872287752972258e-05,748,True,True,detectable,False,False,SQM,0.01,SimpleQuantileNeuron,True,True,2.0
Anchor param,Unanchored,0.001023333010251469,0.001024986660900022,1.6536506485531621e-06,1.8318715556705925e-05,5.058524871619967e-05,-1.4414630449279655,0.07493049535366827,770,False,False,not detectable,False,False,CLP=X,0.05,SimpleQuantileNeuron,False,False,0.25
Anchor hist,Unanchored,0.0010163992145338875,0.001024986660900022,8.587446366134597e-06,2.501620442376968e-06,5.058524871619967e-05,-2.055109258665189,0.020102861434431418,770,True,False,ambiguous,False,False,CLP=X,0.05,SimpleQuantileNeuron,False,False,1.0
Anchor param,Unanchored,0.0002903137862101423,0.0002903137862101423,0.0,2.0755716469501688e-05,2.0755716469501688e-05,0.0,0.5,770,False,False,anchor disabled by VAL,True,True,CLP=X,0.01,SimpleQuantileNeuron,False,False,0.0
Anchor hist,Unanchored,0.0002866259361556437,0.0002903137862101423,3.687850054498573e-06,1.5034051696685268e-05,2.0755716469501688e-05,-1.9077029188494905,0.02840092395490856,770,False,False,not detectable,False,False,CLP=X,0.01,SimpleQuantileNeuron,False,False,0.1
Anchor param,Unanchored,0.0021396344392179897,0.0021364147515878307,-3.219687630159028e-06,1.8707514686982021e-06,3.47246162382942e-05,0.11334628112617748,0.5451067595898443,748,False,False,not detectable,False,False,HG=F,0.05,SimpleQuantileNeuron,False,False,1.0
Anchor hist,Unanchored,0.002134796522647926,0.0021364147515878307,1.6182289399048998e-06,1.7693697725158948e-05,3.47246162382942e-05,-0.7046845389314219,0.24061310780139483,748,False,False,not detectable,False,False,HG=F,0.05,SimpleQuantileNeuron,False,False,0.1
Anchor param,Unanchored,0.0008480868817746414,0.0008752749561462745,2.7188074371633023e-05,6.1399108707845635e-06,1.784387906206492e-05,-1.1377169089073444,0.12780174576962894,748,True,True,detectable,False,False,HG=F,0.01,SimpleQuantileNeuron,False,False,0.5
Anchor hist,Unanchored,0.0008313434533297831,0.0008752749561462745,4.3931502816491334e-05,3.0796114357814703e-06,1.784387906206492e-05,-1.5884407707629196,0.05630492232838673,748,True,True,detectable,False,False,HG=F,0.01,SimpleQuantileNeuron,False,False,1.0
Anchor param,Unanchored,0.0028115766130393117,0.002833347126496443,2.1770513457131362e-05,1.1798351091702082e-06,3.777524770142912e-05,-0.9440305400422963,0.17272963412255102,748,True,False,ambiguous,False,False,CL=F,0.05,SimpleQuantileNeuron,False,False,0.5
Anchor hist,Unanchored,0.002908638105751175,0.002833347126496443,-7.529097925473198e-05,6.56210819886642e-07,3.777524770142912e-05,1.633720465723731,0.9486305401873482,748,False,False,not detectable,False,False,CL=F,0.05,SimpleQuantileNeuron,False,True,2.0
Anchor param,Unanchored,0.0009425278256001907,0.0009308877481358883,-1.1640077464302378e-05,5.331557595176324e-07,1.0440157014219241e-05,0.10985127642648061,0.5437215858384326,748,False,False,not detectable,False,False,CL=F,0.01,SimpleQuantileNeuron,False,True,2.0
Anchor hist,Unanchored,0.000874048690983664,0.0009308877481358883,5.6839057152224294e-05,3.077744451517343e-07,1.0440157014219241e-05,-0.7448609162689821,0.22829503853446872,748,True,True,detectable,False,False,CL=F,0.01,SimpleQuantileNeuron,False,True,2.0
