anchored,baseline,anchored_median_pinball,baseline_median_pinball,edge,anchored_iqr,baseline_iqr,dm_stat,dm_p_anchored_better,n_common,edge_exceeds_anchored_iqr,edge_exceeds_baseline_iqr,seed_noise_verdict,anchor_disabled_by_val,identical_forecasts,ticker,alpha,architecture,claim_supported,val_weight_at_grid_edge,chosen_weight
Anchor param [SimpleQuantileNeuron],Unanchored [SimpleQuantileNeuron],0.0003594743106437899,0.00035733695057911855,-2.137360064671367e-06,7.690085486613478e-06,1.9088584337044847e-05,-0.3073319594985283,0.37933818570444644,748,False,False,not detectable,False,False,^GSPC,0.01,SimpleQuantileNeuron,False,True,0.5
Anchor hist [SimpleQuantileNeuron],Unanchored [SimpleQuantileNeuron],0.0003691135964138107,0.00035733695057911855,-1.1776645834692167e-05,7.973158505451426e-06,1.9088584337044847e-05,0.14282060532119997,0.5567648114796252,748,False,False,not detectable,False,False,^GSPC,0.01,SimpleQuantileNeuron,False,True,0.5
Anchor param [QuantileMLP],Unanchored [QuantileMLP],0.0003809451366297505,0.00045134452637891426,7.039938974916378e-05,1.6531202983220803e-05,0.00010204763692071568,-1.1012004376112465,0.13558206586835533,748,True,False,ambiguous,False,False,^GSPC,0.01,QuantileMLP,False,True,0.5
Anchor hist [QuantileMLP],Unanchored [QuantileMLP],0.00045134452637891426,0.00045134452637891426,0.0,0.00010204763692071568,0.00010204763692071568,0.0,0.5,748,False,False,anchor disabled by VAL,True,True,^GSPC,0.01,QuantileMLP,False,False,0.0
Anchor param [SimpleQuantileNeuron],Unanchored [SimpleQuantileNeuron],0.0009539946237200054,0.0009929751529153706,3.898052919536514e-05,4.700628821464143e-06,9.823317619608299e-06,-1.8313157359761136,0.0337257748002134,748,True,True,detectable,False,False,NVDA,0.01,SimpleQuantileNeuron,True,True,0.5
Anchor hist [SimpleQuantileNeuron],Unanchored [SimpleQuantileNeuron],0.0010166807094508764,0.0009929751529153706,-2.370555653550578e-05,3.0539105870426575e-06,9.823317619608299e-06,0.6242164989248261,0.733662001512673,748,False,False,not detectable,False,False,NVDA,0.01,SimpleQuantileNeuron,False,True,0.5
Anchor param [QuantileMLP],Unanchored [QuantileMLP],0.0010374224748282718,0.0010374224748282718,0.0,4.657347952414137e-05,4.657347952414137e-05,0.0,0.5,748,False,False,anchor disabled by VAL,True,True,NVDA,0.01,QuantileMLP,False,False,0.0
Anchor hist [QuantileMLP],Unanchored [QuantileMLP],0.0010413144929593073,0.0010374224748282718,-3.892018131035433e-06,1.5188275916093539e-05,4.657347952414137e-05,0.17388651676235325,0.5689991198764408,748,False,False,not detectable,False,False,NVDA,0.01,QuantileMLP,False,True,0.5
Anchor param [SimpleQuantileNeuron],Unanchored [SimpleQuantileNeuron],0.0009710976562681082,0.0009710976562681082,0.0,1.9189967309058776e-06,1.9189967309058776e-06,0.0,0.5,1078,False,False,anchor disabled by VAL,True,True,BTC-USD,0.01,SimpleQuantileNeuron,False,False,0.0
Anchor hist [SimpleQuantileNeuron],Unanchored [SimpleQuantileNeuron],0.000988943957984475,0.0009710976562681082,-1.7846301716366916e-05,1.341060118435159e-06,1.9189967309058776e-06,1.6981658459249926,0.955117340284335,1078,False,False,not detectable,False,False,BTC-USD,0.01,SimpleQuantileNeuron,False,True,0.5
